"export-plots data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:36:40:708 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","500","1100","1","30","4","1","90","""Wetter Future""","200","0.03","0","6","2","30","125","25","8","1350","125","42","1","30","0.03"

"""Ag Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","-86000","221000","true","""Corn""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"
"""US$0""","true","2","1","13","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"74","7","42.5","true","74","12","24","true","74","0","53","true","74","7","32","true"
"75","14","42.5","true","75","12","24","true","75","0","53","true","75","17","32","true"
"76","4","42.5","true","76","12","24","true","76","0","53","true","76","8","32","true"
"77","13","42.5","true","77","10","24","true","77","0","53","true","77","9","32","true"
"78","7","42.5","true","78","12","24","true","78","0","53","true","78","7","32","true"
"79","7","42.5","true","79","12","24","true","79","0","53","true","79","7","32","true"
"80","7","42.5","true","80","12","24","true","80","0","53","true","80","7","32","true"
"81","7","42.5","true","81","12","24","true","81","0","53","true","81","7","32","true"
"82","7","42.5","true","82","12","24","true","82","0","53","true","82","7","32","true"
"83","14","42.5","true","83","7","24","true","83","0","53","true","83","15","32","true"
"84","14","42.5","true","84","7","24","true","84","0","53","true","84","15","32","true"
"85","13","42.5","true","85","10","24","true","85","0","53","true","85","9","32","true"
"86","0","42.5","true","86","0","24","true","86","0","53","true","86","0","32","true"
"87","0","42.5","true","87","0","24","true","87","0","53","true","87","0","32","true"
"88","0","42.5","true","88","0","24","true","88","0","53","true","88","0","32","true"
"89","0","42.5","true","89","0","24","true","89","0","53","true","89","0","32","true"
"""Crop Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","276","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","213","42.5","true","1","77","24","true","1","0","53","true","1","119","32","true"
"2","251","42.5","true","2","70","24","true","2","0","53","true","2","130","32","true"
"3","206","42.5","true","3","65","24","true","3","0","53","true","3","85","32","true"
"4","144","42.5","true","4","68","24","true","4","0","53","true","4","68","32","true"
"5","168","42.5","true","5","67","24","true","5","0","53","true","5","95","32","true"
"6","205","42.5","true","6","71","24","true","6","0","53","true","6","127","32","true"
"7","207","42.5","true","7","79","24","true","7","0","53","true","7","121","32","true"
"8","233","42.5","true","8","75","24","true","8","0","53","true","8","129","32","true"
"9","233","42.5","true","9","69","24","true","9","0","53","true","9","113","32","true"
"10","223","42.5","true","10","74","24","true","10","0","53","true","10","134","32","true"
"11","233","42.5","true","11","75","24","true","11","0","53","true","11","129","32","true"
"12","213","42.5","true","12","77","24","true","12","0","53","true","12","119","32","true"
"13","223","42.5","true","13","74","24","true","13","0","53","true","13","134","32","true"
"14","233","42.5","true","14","69","24","true","14","0","53","true","14","113","32","true"
"15","233","42.5","true","15","75","24","true","15","0","53","true","15","129","32","true"
"16","207","42.5","true","16","79","24","true","16","0","53","true","16","121","32","true"
"17","213","42.5","true","17","77","24","true","17","0","53","true","17","119","32","true"
"18","233","42.5","true","18","75","24","true","18","0","53","true","18","129","32","true"
"19","233","42.5","true","19","75","24","true","19","0","53","true","19","129","32","true"
"20","233","42.5","true","20","75","24","true","20","0","53","true","20","129","32","true"
"21","213","42.5","true","21","77","24","true","21","0","53","true","21","119","32","true"
"22","233","42.5","true","22","75","24","true","22","0","53","true","22","129","32","true"
"23","233","42.5","true","23","75","24","true","23","0","53","true","23","129","32","true"
"24","213","42.5","true","24","77","24","true","24","0","53","true","24","119","32","true"
"25","233","42.5","true","25","75","24","true","25","0","53","true","25","129","32","true"
"26","233","42.5","true","26","69","24","true","26","0","53","true","26","113","32","true"
"27","233","42.5","true","27","75","24","true","27","0","53","true","27","129","32","true"
"28","207","42.5","true","28","79","24","true","28","0","53","true","28","121","32","true"
"29","223","42.5","true","29","74","24","true","29","0","53","true","29","134","32","true"
"30","233","42.5","true","30","75","24","true","30","0","53","true","30","129","32","true"
"31","233","42.5","true","31","75","24","true","31","0","53","true","31","129","32","true"
"32","213","42.5","true","32","77","24","true","32","0","53","true","32","119","32","true"
"33","207","42.5","true","33","79","24","true","33","0","53","true","33","121","32","true"
"34","233","42.5","true","34","75","24","true","34","0","53","true","34","129","32","true"
"35","233","42.5","true","35","69","24","true","35","0","53","true","35","113","32","true"
"36","223","42.5","true","36","74","24","true","36","0","53","true","36","134","32","true"
"37","213","42.5","true","37","77","24","true","37","0","53","true","37","119","32","true"
"38","233","42.5","true","38","75","24","true","38","0","53","true","38","129","32","true"
"39","233","42.5","true","39","75","24","true","39","0","53","true","39","129","32","true"
"40","233","42.5","true","40","75","24","true","40","0","53","true","40","129","32","true"
"41","223","42.5","true","41","74","24","true","41","0","53","true","41","134","32","true"
"42","233","42.5","true","42","75","24","true","42","0","53","true","42","129","32","true"
"43","213","42.5","true","43","77","24","true","43","0","53","true","43","119","32","true"
"44","233","42.5","true","44","75","24","true","44","0","53","true","44","129","32","true"
"45","233","42.5","true","45","75","24","true","45","0","53","true","45","129","32","true"
"46","213","42.5","true","46","77","24","true","46","0","53","true","46","119","32","true"
"47","233","42.5","true","47","75","24","true","47","0","53","true","47","129","32","true"
"48","233","42.5","true","48","69","24","true","48","0","53","true","48","113","32","true"
"49","233","42.5","true","49","75","24","true","49","0","53","true","49","129","32","true"
"50","207","42.5","true","50","79","24","true","50","0","53","true","50","121","32","true"
"51","233","42.5","true","51","75","24","true","51","0","53","true","51","129","32","true"
"52","233","42.5","true","52","75","24","true","52","0","53","true","52","129","32","true"
"53","207","42.5","true","53","79","24","true","53","0","53","true","53","121","32","true"
"54","213","42.5","true","54","77","24","true","54","0","53","true","54","119","32","true"
"55","223","42.5","true","55","74","24","true","55","0","53","true","55","134","32","true"
"56","233","42.5","true","56","75","24","true","56","0","53","true","56","129","32","true"
"57","233","42.5","true","57","69","24","true","57","0","53","true","57","113","32","true"
"58","233","42.5","true","58","75","24","true","58","0","53","true","58","129","32","true"
"59","233","42.5","true","59","75","24","true","59","0","53","true","59","129","32","true"
"60","213","42.5","true","60","77","24","true","60","0","53","true","60","119","32","true"
"61","233","42.5","true","61","75","24","true","61","0","53","true","61","129","32","true"
"62","213","42.5","true","62","77","24","true","62","0","53","true","62","119","32","true"
"63","223","42.5","true","63","74","24","true","63","0","53","true","63","134","32","true"
"64","233","42.5","true","64","75","24","true","64","0","53","true","64","129","32","true"
"65","233","42.5","true","65","75","24","true","65","0","53","true","65","129","32","true"
"66","233","42.5","true","66","75","24","true","66","0","53","true","66","129","32","true"
"67","207","42.5","true","67","79","24","true","67","0","53","true","67","121","32","true"
"68","213","42.5","true","68","77","24","true","68","0","53","true","68","119","32","true"
"69","233","42.5","true","69","69","24","true","69","0","53","true","69","113","32","true"
"70","233","42.5","true","70","75","24","true","70","0","53","true","70","129","32","true"
"71","213","42.5","true","71","77","24","true","71","0","53","true","71","119","32","true"
"72","213","42.5","true","72","77","24","true","72","0","53","true","72","119","32","true"
"73","233","42.5","true","73","75","24","true","73","0","53","true","73","129","32","true"
"74","233","42.5","true","74","75","24","true","74","0","53","true","74","129","32","true"
"75","223","42.5","true","75","74","24","true","75","0","53","true","75","134","32","true"
"76","233","42.5","true","76","69","24","true","76","0","53","true","76","113","32","true"
"77","207","42.5","true","77","79","24","true","77","0","53","true","77","121","32","true"
"78","233","42.5","true","78","75","24","true","78","0","53","true","78","129","32","true"
"79","233","42.5","true","79","75","24","true","79","0","53","true","79","129","32","true"
"80","233","42.5","true","80","75","24","true","80","0","53","true","80","129","32","true"
"81","233","42.5","true","81","75","24","true","81","0","53","true","81","129","32","true"
"82","233","42.5","true","82","75","24","true","82","0","53","true","82","129","32","true"
"83","213","42.5","true","83","77","24","true","83","0","53","true","83","119","32","true"
"84","213","42.5","true","84","77","24","true","84","0","53","true","84","119","32","true"
"85","207","42.5","true","85","79","24","true","85","0","53","true","85","121","32","true"
"86","132","42.5","true","86","53","24","true","86","0","53","true","86","109","32","true"
"87","132","42.5","true","87","53","24","true","87","0","53","true","87","109","32","true"
"88","132","42.5","true","88","53","24","true","88","0","53","true","88","109","32","true"
"89","127","42.5","true","89","11","24","true","89","0","53","true","89","64","32","true"
"""Farm Energy Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","32400","true","""Wind        ""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Wind        ""","true","0","1","104","89"
"""Solar ""","true","0","1","14","89"
"""0 MWh""","true","2","1","13","89"

"""Wind        """,,,,"""Solar """,,,,"""0 MWh"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","104","true","0","0","14","true","0","0","13","true"
"1","29433.6","104","true","1","4380","14","true","1","0","13","true"
"2","29433.6","104","true","2","4336.2","14","true","2","0","13","true"
"3","29433.6","104","true","3","4292.838","14","true","3","0","13","true"
