"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 12:12:50:738 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP8.5""","500","1100","1","30","4","1","90","""GCM""","200","0.03","0","8","2","30","125","25","8","1350","125","42","1","30","0.03"

"""Ag Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","-351000","221000","true","""Corn""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"
"""US$0""","true","2","1","13","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true","0","0","13","true"
"1","8070.000000000116","42.5","true","1","-1797.5","24","true","1","0","53","true","1","-21051.249999999985","32","true","1","0","13","true"
"2","-22025","42.5","true","2","-26682.5","24","true","2","0","53","true","2","-18033.749999999985","32","true","2","0","13","true"
"3","116729.99999999994","42.5","true","3","-23668.75","24","true","3","0","53","true","3","-14208.749999999985","32","true","3","0","13","true"
"4","59039.99999999994","42.5","true","4","-8840","24","true","4","0","53","true","4","-16843.749999999985","32","true","4","0","13","true"
"5","198239.99999999994","42.5","true","5","-2786.2499999999927","24","true","5","0","53","true","5","12041.250000000015","32","true","5","0","13","true"
"6","67104.99999999994","42.5","true","6","-6558.75","24","true","6","0","53","true","6","-1401.2499999999854","32","true","6","0","13","true"
"7","-1890.0000000001164","42.5","true","7","-8653.749999999993","24","true","7","0","53","true","7","-7561.249999999985","32","true","7","0","13","true"
"8","-824.9999999999418","42.5","true","8","-24157.5","24","true","8","0","53","true","8","-17448.749999999985","32","true","8","0","13","true"
"9","-57909.99999999994","42.5","true","9","-40995","24","true","9","0","53","true","9","-30751.249999999985","32","true","9","0","13","true"
"10","-64990","42.5","true","10","-30947.5","24","true","10","0","53","true","10","-15498.749999999978","32","true","10","0","13","true"
"11","27654.74999999994","42.5","true","11","-21680.84999999999","24","true","11","0","53","true","11","6883.650000000023","32","true","11","0","13","true"
"12","-87223.50000000012","42.5","true","12","-36887","24","true","12","0","53","true","12","-9919.39999999998","32","true","12","0","13","true"
"13","-30889.600000000035","42.5","true","13","-19591.52500000001","24","true","13","0","53","true","13","7091.5500000000175","32","true","13","0","13","true"
"14","-85031.1000000001","42.5","true","14","-36179","24","true","14","0","53","true","14","5875.650000000009","32","true","14","0","13","true"
"15","-117952.00000000006","42.5","true","15","-21431.4625","24","true","15","0","53","true","15","-21902.54999999998","32","true","15","0","13","true"
"16","-50027.00000000006","42.5","true","16","-18261.550000000003","24","true","16","0","53","true","16","-21165.07499999999","32","true","16","0","13","true"
"17","-132868.2100000001","42.5","true","17","-21503.312499999993","24","true","17","0","53","true","17","-23716.324999999983","32","true","17","0","13","true"
"18","-125280","42.5","true","18","-24497.0625","24","true","18","0","53","true","18","-9327.374999999985","32","true","18","0","13","true"
"19","-53508.40000000002","42.5","true","19","-5017.4375","24","true","19","0","53","true","19","-22849.42499999998","32","true","19","0","13","true"
"20","14042.249999999942","42.5","true","20","-29858.774999999994","24","true","20","0","53","true","20","-22087.449999999983","32","true","20","0","13","true"
"21","-67701.80000000005","42.5","true","21","-19822.825000000004","24","true","21","0","53","true","21","28698.45000000001","32","true","21","0","13","true"
"22","-123888.00000000006","42.5","true","22","-11218.324999999997","24","true","22","0","53","true","22","-21726.349999999984","32","true","22","0","13","true"
"23","-43773.75","42.5","true","23","-19437.325000000004","24","true","23","0","53","true","23","26867.250000000015","32","true","23","0","13","true"
"24","-66424.60000000003","42.5","true","24","2346.487500000003","24","true","24","0","53","true","24","-30944.474999999984","32","true","24","0","13","true"
"25","-89838.90000000008","42.5","true","25","-3251.149999999994","24","true","25","0","53","true","25","-21539.849999999984","32","true","25","0","13","true"
"26","-151792.00000000003","42.5","true","26","-4911.825000000004","24","true","26","0","53","true","26","-29588.624999999985","32","true","26","0","13","true"
"27","-86962.80000000005","42.5","true","27","-16218.487499999996","24","true","27","0","53","true","27","3727.350000000006","32","true","27","0","13","true"
"28","-133262.00000000012","42.5","true","28","-3788.962499999994","24","true","28","0","53","true","28","-23017.67499999998","32","true","28","0","13","true"
"29","-154142.25000000006","42.5","true","29","-3159.862500000003","24","true","29","0","53","true","29","26732.850000000006","32","true","29","0","13","true"
"30","-156847.00000000003","42.5","true","30","-24210.825000000004","24","true","30","0","53","true","30","-31917.149999999987","32","true","30","0","13","true"
"31","-73037.20000000001","42.5","true","31","-10596.149999999994","24","true","31","0","53","true","31","-9040.19999999999","32","true","31","0","13","true"
"32","-170592.00000000003","42.5","true","32","-4694.949999999997","24","true","32","0","53","true","32","2845.3500000000204","32","true","32","0","13","true"
"33","14043.79999999993","42.5","true","33","-27957.837499999994","24","true","33","0","53","true","33","-32159.499999999978","32","true","33","0","13","true"
"34","-39566.25000000006","42.5","true","34","-22161.9375","24","true","34","0","53","true","34","13869.97500000002","32","true","34","0","13","true"
"35","-177909.15000000002","42.5","true","35","-22379.975","24","true","35","0","53","true","35","-25919.54999999998","32","true","35","0","13","true"
"36","-154418.00000000006","42.5","true","36","-24335.249999999993","24","true","36","0","53","true","36","-9254.424999999988","32","true","36","0","13","true"
"37","-154413.00000000006","42.5","true","37","-4788.962499999994","24","true","37","0","53","true","37","-147.14999999999418","32","true","37","0","13","true"
"38","-144566.1000000001","42.5","true","38","-32646.725","24","true","38","0","53","true","38","-13998.899999999987","32","true","38","0","13","true"
"39","-184191.15000000005","42.5","true","39","-6646.124999999993","24","true","39","0","53","true","39","-27374.249999999985","32","true","39","0","13","true"
"40","-183159.90000000008","42.5","true","40","-24542.625","24","true","40","0","53","true","40","18458.850000000006","32","true","40","0","13","true"
"41","-115449.75000000006","42.5","true","41","-32768.825","24","true","41","0","53","true","41","-29321.32499999999","32","true","41","0","13","true"
"42","-207033.20000000004","42.5","true","42","-26981.874999999993","24","true","42","0","53","true","42","-28353.14999999998","32","true","42","0","13","true"
"43","-191008.00000000006","42.5","true","43","-3319.1999999999825","24","true","43","0","53","true","43","11376.637500000026","32","true","43","0","13","true"
"44","-99065.25000000006","42.5","true","44","-8349.162499999991","24","true","44","0","53","true","44","-14735.44999999999","32","true","44","0","13","true"
"45","-223184.00000000006","42.5","true","45","-8489.737499999988","24","true","45","0","53","true","45","18080.850000000006","32","true","45","0","13","true"
"46","-143689.50000000003","42.5","true","46","-7390.062499999993","24","true","46","0","53","true","46","4315.925000000032","32","true","46","0","13","true"
"47","-48054.40000000002","42.5","true","47","-25051.549999999996","24","true","47","0","53","true","47","-32197.724999999984","32","true","47","0","13","true"
"48","-177232.00000000006","42.5","true","48","-6924.949999999997","24","true","48","0","53","true","48","-30732.749999999993","32","true","48","0","13","true"
"49","-141585.75000000006","42.5","true","49","-7723.987500000003","24","true","49","0","53","true","49","-30143.249999999978","32","true","49","0","13","true"
"50","-196423.60000000003","42.5","true","50","-31304.29999999999","24","true","50","0","53","true","50","-5363.549999999981","32","true","50","0","13","true"
"51","-204279.80000000005","42.5","true","51","-25261.200000000004","24","true","51","0","53","true","51","-30658.04999999999","32","true","51","0","13","true"
"52","-223870.40000000008","42.5","true","52","-8233.412499999984","24","true","52","0","53","true","52","-31299.42499999999","32","true","52","0","13","true"
"53","-215531.35000000006","42.5","true","53","-7615.212499999994","24","true","53","0","53","true","53","-30466.949999999983","32","true","53","0","13","true"
"54","-230485.5000000001","42.5","true","54","-26818.024999999994","24","true","54","0","53","true","54","-38391.82499999998","32","true","54","0","13","true"
"55","-2901.460000000021","42.5","true","55","8222.03249999999","24","true","55","0","53","true","55","4580.770125000003","32","true","55","0","13","true"
"56","-13547.035000000018","42.5","true","56","-3414.804250000001","24","true","56","0","53","true","56","-7043.536499999998","32","true","56","0","13","true"
"57","-18368.255000000005","42.5","true","57","3087.2187500000036","24","true","57","0","53","true","57","-4694.387374999998","32","true","57","0","13","true"
"58","-28484.274999999994","42.5","true","58","-2762.2309999999925","24","true","58","0","53","true","58","-10316.212375","32","true","58","0","13","true"
"59","-50703.53000000001","42.5","true","59","2799.8500000000095","24","true","59","0","53","true","59","6352.300000000007","32","true","59","0","13","true"
"60","-58284.66500000001","42.5","true","60","-10774.545499999993","24","true","60","0","53","true","60","-9515.299999999996","32","true","60","0","13","true"
"61","-50447.15000000001","42.5","true","61","-12859.811999999998","24","true","61","0","53","true","61","-15114.140874999997","32","true","61","0","13","true"
"62","-63640.279999999984","42.5","true","62","-15011.922499999999","24","true","62","0","53","true","62","-16167.499999999996","32","true","62","0","13","true"
"63","-74445.44999999998","42.5","true","63","-6419.249999999996","24","true","63","0","53","true","63","-15313.399999999996","32","true","63","0","13","true"
"64","-71110","42.5","true","64","-9725.824999999997","24","true","64","0","53","true","64","-9983.349999999995","32","true","64","0","13","true"
"65","-57251","42.5","true","65","-8815.324999999997","24","true","65","0","53","true","65","-16142.274999999996","32","true","65","0","13","true"
"66","-60124","42.5","true","66","-15194.549999999996","24","true","66","0","53","true","66","-16561.399999999998","32","true","66","0","13","true"
"67","-88271.84","42.5","true","67","-12166.874999999996","24","true","67","0","53","true","67","-20200.057749999996","32","true","67","0","13","true"
"68","-64149.95","42.5","true","68","-13731.412499999995","24","true","68","0","53","true","68","-11784.299999999997","32","true","68","0","13","true"
"69","-83113.08499999999","42.5","true","69","-3740.024999999994","24","true","69","0","53","true","69","-15833.949999999997","32","true","69","0","13","true"
"70","-78561","42.5","true","70","-19630.499999999996","24","true","70","0","53","true","70","-17685.274999999998","32","true","70","0","13","true"
"71","-63809.75","42.5","true","71","-11555.274999999998","24","true","71","0","53","true","71","-17853.574999999997","32","true","71","0","13","true"
"72","-84348.20000000001","42.5","true","72","-4932.599999999995","24","true","72","0","53","true","72","-12356.599999999997","32","true","72","0","13","true"
"73","-78470.3","42.5","true","73","-9178.024999999998","24","true","73","0","53","true","73","-17239.999999999996","32","true","73","0","13","true"
"74","-75870","42.5","true","74","-14999.024999999996","24","true","74","0","53","true","74","-15408.299999999996","32","true","74","0","13","true"
"75","-83252","42.5","true","75","-16274.699999999995","24","true","75","0","53","true","75","-17653.399999999994","32","true","75","0","13","true"
"76","-75203.2","42.5","true","76","-7720.349999999995","24","true","76","0","53","true","76","-15067.799999999996","32","true","76","0","13","true"
"77","-89138.34999999999","42.5","true","77","-4306.149999999994","24","true","77","0","53","true","77","-8265.549999999996","32","true","77","0","13","true"
"78","-74081","42.5","true","78","-10229.399999999994","24","true","78","0","53","true","78","-8927.299999999996","32","true","78","0","13","true"
"79","-100060","42.5","true","79","-11957.175000000003","24","true","79","0","53","true","79","-13803.474999999997","32","true","79","0","13","true"
"80","-91494.1","42.5","true","80","-16611.874999999996","24","true","80","0","53","true","80","-9396.162499999995","32","true","80","0","13","true"
"81","-69997.25","42.5","true","81","-13732.024999999994","24","true","81","0","53","true","81","-9798.799999999996","32","true","81","0","13","true"
"82","-100721.735","42.5","true","82","-22286.5","24","true","82","0","53","true","82","-15611.324999999999","32","true","82","0","13","true"
"83","-101921.22499999999","42.5","true","83","-11176.199999999997","24","true","83","0","53","true","83","-9718.124999999996","32","true","83","0","13","true"
"84","-261672.75000000006","42.5","true","84","-16705.812500000007","24","true","84","0","53","true","84","-40829.249999999985","32","true","84","0","13","true"
"85","-298713.60000000003","42.5","true","85","-32623.887500000004","24","true","85","0","53","true","85","-29801.249999999985","32","true","85","0","13","true"
"86","-299610.80000000005","42.5","true","86","-39240.75","24","true","86","0","53","true","86","-35202.34999999999","32","true","86","0","13","true"
"87","-328312.4","42.5","true","87","-12377.625000000007","24","true","87","0","53","true","87","-16560.749999999985","32","true","87","0","13","true"
"88","-317806.4","42.5","true","88","-27259.83750000001","24","true","88","0","53","true","88","-42202.04999999998","32","true","88","0","13","true"
"89","-330660.80000000005","42.5","true","89","-13593.325000000004","24","true","89","0","53","true","89","-45582.499999999985","32","true","89","0","13","true"
