"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 12:04:56:686 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","38","250","""RCP8.5""","500","1100","1","30","4","1","90","""GCM""","200","0.03","0","6","2","30","125","25","8","1350","125","25","1","30","0.03"

"""Total Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","-820000","696000","true","""Crop""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Crop""","true","0","1","54","89"
"""Energy     ""","true","0","1","25","89"
"""All""","true","0","1","0","89"
"""US$0""","true","2","1","13","89"

"""Crop""",,,,"""Energy     """,,,,"""All""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","54","true","0","0","25","true","0","0","0","true","0","0","13","true"
"1","-14778.749999999869","54","true","1","631073.0779410156","25","true","1","616294.3279410157","0","true","1","0","13","true"
"2","-66741.24999999999","54","true","2","34976.67794101563","25","true","2","-31764.572058984355","0","true","2","0","13","true"
"3","78852.49999999996","54","true","3","33328.92194101561","25","true","3","112181.42194101556","0","true","3","0","13","true"
"4","33356.249999999956","54","true","4","31697.643501015613","25","true","4","65053.89350101557","0","true","4","0","13","true"
"5","207494.99999999994","54","true","5","30082.6778454156","25","true","5","237577.67784541554","0","true","5","0","13","true"
"6","59144.999999999956","54","true","6","-10236.138153628388","25","true","6","48908.86184637157","0","true","6","0","13","true"
"7","-18105.000000000095","54","true","7","-160426.96599268197","25","true","7","-178531.9659926821","0","true","7","0","13","true"
"8","-42431.24999999993","54","true","8","-161993.965553345","25","true","8","-204425.21555334493","0","true","8","0","13","true"
"9","-129656.24999999993","54","true","9","-163545.2951184014","25","true","9","-293201.54511840135","0","true","9","0","13","true"
"10","-111436.24999999997","54","true","10","-165081.11138780724","25","true","10","-276517.36138780724","0","true","10","0","13","true"
"11","11837.699999999983","54","true","11","-265819.169494519","25","true","11","-253981.46949451903","0","true","11","0","13","true"
"12","-54052.22500000005","54","true","12","-273915.44702016376","25","true","12","-327967.67202016385","0","true","12","0","13","true"
"13","-118130.16250000006","54","true","13","-281930.7617705519","25","true","13","-400060.924270552","0","true","13","0","13","true"
"14","-129135.90000000002","54","true","14","-289865.9233734363","25","true","14","-419001.82337343635","0","true","14","0","13","true"
"15","-80326.3750000001","54","true","15","-297721.7333602917","25","true","15","-378048.10836029175","0","true","15","0","13","true"
"16","18038.062500000022","54","true","16","-305498.98524727876","25","true","16","-287460.9227472787","0","true","16","0","13","true"
"17","-192459.99750000008","54","true","17","-313198.4646153959","25","true","17","-505658.46211539593","0","true","17","0","13","true"
"18","-103220.06250000003","54","true","18","-320820.94918983174","25","true","18","-424041.01168983174","0","true","18","0","13","true"
"19","-20759.787499999984","54","true","19","-328367.2089185233","25","true","19","-349126.99641852325","0","true","19","0","13","true"
"20","-138641.00000000006","54","true","20","-335838.0060499279","25","true","20","-474479.00604992796","0","true","20","0","13","true"
"21","-110240.42500000008","54","true","21","-343234.09521001845","25","true","21","-453474.5202100185","0","true","21","0","13","true"
"22","-155759.57500000004","54","true","22","-350556.2234785082","25","true","22","-506315.7984785082","0","true","22","0","13","true"
"23","-173434.57500000007","54","true","23","-357805.13046431297","25","true","23","-531239.705464313","0","true","23","0","13","true"
"24","-51812.13749999998","54","true","24","-364981.5483802596","25","true","24","-416793.68588025955","0","true","24","0","13","true"
"25","-99763.87500000006","54","true","25","-372086.2021170469","25","true","25","-471850.077117047","0","true","25","0","13","true"
"26","-159019.41250000003","54","true","26","-303420.3963748602","25","true","26","-462439.8088748602","0","true","26","0","13","true"
"27","-122289.57500000007","54","true","27","-310753.4616317014","25","true","27","-433043.0366317014","0","true","27","0","13","true"
"28","-168010.10000000006","54","true","28","-318013.1962359743","25","true","28","-486023.29623597447","0","true","28","0","13","true"
"29","-54218.66250000011","54","true","29","-325200.33349420445","25","true","29","-379418.99599420454","0","true","29","0","13","true"
"30","-174048.18750000006","54","true","30","-332315.59937985224","25","true","30","-506363.78687985224","0","true","30","0","13","true"
"31","-47300.85000000004","54","true","31","584195.8618463716","25","true","31","536895.0118463716","0","true","31","0","13","true"
"32","-198867.125","54","true","32","-11818.965992681973","25","true","32","-210686.09099268197","0","true","32","0","13","true"
"33","10266.562499999935","54","true","33","-13385.965553345013","25","true","33","-3119.4030533450787","0","true","33","0","13","true"
"34","-66945.22500000003","54","true","34","-14937.29511840141","25","true","34","-81882.52011840144","0","true","34","0","13","true"
"35","-132239.21250000002","54","true","35","-16473.111387807236","25","true","35","-148712.32388780726","0","true","35","0","13","true"
"36","-159461.57500000004","54","true","36","-17993.569494519004","25","true","36","-177455.14449451905","0","true","36","0","13","true"
"37","-172348.11250000005","54","true","37","-168106.82302016366","25","true","37","-340454.9355201637","0","true","37","0","13","true"
"38","-215263.45000000004","54","true","38","-169597.0240105519","25","true","38","-384860.4740105519","0","true","38","0","13","true"
"39","-202070.42500000005","54","true","39","-171072.3229910362","25","true","39","-373142.7479910363","0","true","39","0","13","true"
"40","-135561.53749999998","54","true","40","-172532.86898171567","25","true","40","-308094.4064817156","0","true","40","0","13","true"
"41","-157573.62500000006","54","true","41","-273196.40951248835","25","true","41","-430770.0345124884","0","true","41","0","13","true"
"42","-236043.62500000003","54","true","42","-281218.9146379534","25","true","42","-517262.5396379534","0","true","42","0","13","true"
"43","-256406.90000000005","54","true","43","-289161.19471216365","25","true","43","-545568.0947121637","0","true","43","0","13","true"
"44","-157201.86250000005","54","true","44","-297024.05198563193","25","true","44","-454225.9144856319","0","true","44","0","13","true"
"45","-277624.55000000005","54","true","45","-304808.28068636544","25","true","45","-582432.8306863656","0","true","45","0","13","true"
"46","-181296.9125","54","true","46","-312514.6671000917","25","true","46","-493811.5796000917","0","true","46","0","13","true"
"47","-76173.60000000002","54","true","47","-320143.9896496807","25","true","47","-396317.5896496807","0","true","47","0","13","true"
"48","-251538.20000000007","54","true","48","-327697.0189737738","25","true","48","-579235.2189737739","0","true","48","0","13","true"
"49","-156304.98750000005","54","true","49","-335174.51800462586","25","true","49","-491479.5055046259","0","true","49","0","13","true"
"50","-228649.2","54","true","50","-342577.24204516946","25","true","50","-571226.4420451695","0","true","50","0","13","true"
"51","-275782.95000000007","54","true","51","-274206.52590370155","25","true","51","-549989.4759037016","0","true","51","0","13","true"
