"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:09:19:818 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","150","1100","1","30","4","1","90","""Dryer Future""","200","0.03","200","6","2","30","200","25","8","1350","200","42","1","30","0.03"

"""Ag Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","-90000","176000","true","""Corn""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"
"""US$0""","true","2","1","13","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true","0","0","13","true"
"1","2421.000000000029","42.5","true","1","-2876","24","true","1","63024.00000000003","53","true","1","-33681.999999999985","32","true","1","0","13","true"
"2","-6607.5","42.5","true","2","-42692","24","true","2","64716","53","true","2","-28853.999999999985","32","true","2","0","13","true"
"3","35018.999999999985","42.5","true","3","-37869.999999999985","24","true","3","113348","53","true","3","-22733.999999999985","32","true","3","0","13","true"
"4","17711.999999999985","42.5","true","4","-14144","24","true","4","108048","53","true","4","-26949.999999999985","32","true","4","0","13","true"
"5","59471.999999999985","42.5","true","5","-4457.999999999985","24","true","5","156228","53","true","5","19266.000000000015","32","true","5","0","13","true"
"6","20131.499999999985","42.5","true","6","-10494","24","true","6","123208","53","true","6","-2241.9999999999854","32","true","6","0","13","true"
"7","-567.0000000000291","42.5","true","7","-13846","24","true","7","75144","53","true","7","-12097.999999999985","32","true","7","0","13","true"
"8","-247.4999999999709","42.5","true","8","-38652","24","true","8","52888","53","true","8","-27917.999999999985","32","true","8","0","13","true"
"9","-17372.99999999997","42.5","true","9","-65592","24","true","9","68040","53","true","9","-49201.999999999985","32","true","9","0","13","true"
"10","-19496.999999999985","42.5","true","10","-49516","24","true","10","64848","53","true","10","-24797.99999999997","32","true","10","0","13","true"
"11","-247.4999999999709","42.5","true","11","2448","24","true","11","52888","53","true","11","-5730","32","true","11","0","13","true"
"12","2421.000000000029","42.5","true","12","-35986","24","true","12","63024.00000000003","53","true","12","11538.000000000015","32","true","12","0","13","true"
"13","59471.999999999985","42.5","true","13","-50151.999999999985","24","true","13","156228","53","true","13","-32793.999999999985","32","true","13","0","13","true"
"14","2421.000000000029","42.5","true","14","-47073.99999999999","24","true","14","63024.00000000003","53","true","14","-13689.999999999985","32","true","14","0","13","true"
"15","59471.999999999985","42.5","true","15","-61809.999999999985","24","true","15","156228","53","true","15","-32793.999999999985","32","true","15","0","13","true"
"16","17711.999999999985","42.5","true","16","-54400","24","true","16","108048","53","true","16","-69685.95999999999","32","true","16","0","13","true"
"17","59471.999999999985","42.5","true","17","-10487.999999999985","24","true","17","156228","53","true","17","-32793.999999999985","32","true","17","0","13","true"
"18","59471.999999999985","42.5","true","18","-10487.999999999985","24","true","18","156228","53","true","18","-28993.999999999985","32","true","18","0","13","true"
"19","20131.499999999985","42.5","true","19","-41734","24","true","19","123208","53","true","19","-29165.999999999985","32","true","19","0","13","true"
"20","59471.999999999985","42.5","true","20","-35813.999999999985","24","true","20","156228","53","true","20","-58633.999999999985","32","true","20","0","13","true"
"21","-247.4999999999709","42.5","true","21","-4302","24","true","21","52888","53","true","21","46128.000000000015","32","true","21","0","13","true"
"22","17711.999999999985","42.5","true","22","-66232","24","true","22","108048","53","true","22","-51565.999999999985","32","true","22","0","13","true"
"23","20131.499999999985","42.5","true","23","-36764","24","true","23","123208","53","true","23","-28657.999999999985","32","true","23","0","13","true"
"24","59471.999999999985","42.5","true","24","-4457.999999999985","24","true","24","156228","53","true","24","-48753.999999999985","32","true","24","0","13","true"
"25","59471.999999999985","42.5","true","25","-11693.999999999985","24","true","25","156228","53","true","25","-58633.999999999985","32","true","25","0","13","true"
"26","2421.000000000029","42.5","true","26","-30596","24","true","26","63024.00000000003","53","true","26","-35585.999999999985","32","true","26","0","13","true"
"27","59471.999999999985","42.5","true","27","-10487.999999999985","24","true","27","156228","53","true","27","5396.000000000029","32","true","27","0","13","true"
"28","59471.999999999985","42.5","true","28","-10487.999999999985","24","true","28","156228","53","true","28","-12653.999999999985","32","true","28","0","13","true"
"29","2421.000000000029","42.5","true","29","5440","24","true","29","63024.00000000003","53","true","29","34148.000000000015","32","true","29","0","13","true"
"30","59471.999999999985","42.5","true","30","-61809.999999999985","24","true","30","156228","53","true","30","19266.000000000015","32","true","30","0","13","true"
"31","2421.000000000029","42.5","true","31","-1489.9999999999854","24","true","31","63024.00000000003","53","true","31","51522.000000000015","32","true","31","0","13","true"
"32","20131.499999999985","42.5","true","32","-64312","24","true","32","123208","53","true","32","62274.000000000015","32","true","32","0","13","true"
"33","59471.999999999985","42.5","true","33","-11693.999999999985","24","true","33","156228","53","true","33","-50273.999999999985","32","true","33","0","13","true"
"34","59471.999999999985","42.5","true","34","-11023.99999999997","24","true","34","156228","53","true","34","-50273.999999999985","32","true","34","0","13","true"
"35","-247.4999999999709","42.5","true","35","-18702","24","true","35","52888","53","true","35","21618.000000000015","32","true","35","0","13","true"
"36","59471.999999999985","42.5","true","36","-41173.99999999998","24","true","36","156228","53","true","36","-58633.999999999985","32","true","36","0","13","true"
"37","17711.999999999985","42.5","true","37","-66232","24","true","37","108048","53","true","37","-72781.99999999999","32","true","37","0","13","true"
"38","59471.999999999985","42.5","true","38","-61809.999999999985","24","true","38","156228","53","true","38","-49133.99999999998","32","true","38","0","13","true"
"39","59471.999999999985","42.5","true","39","-4457.999999999985","24","true","39","156228","53","true","39","-49133.99999999998","32","true","39","0","13","true"
"40","36717.59999999999","42.5","true","40","2896.0000000000073","24","true","40","61334.4","53","true","40","-5586.239999999991","32","true","40","0","13","true"
"41","37985.09999999999","42.5","true","41","8267.200000000012","24","true","41","52580.46","53","true","41","-9544.23999999999","32","true","41","0","13","true"
"42","16434","42.5","true","42","11696.000000000007","24","true","42","37153.50000000001","53","true","42","32266","32","true","42","0","13","true"
"43","27880.79999999999","42.5","true","43","2273.8800000000047","24","true","43","30758.1","53","true","43","-6085.319999999985","32","true","43","0","13","true"
"44","15204.900000000009","42.5","true","44","35.16000000001077","24","true","44","18280.16000000001","53","true","44","-12554.19999999999","32","true","44","0","13","true"
"45","3128.550000000003","42.5","true","45","-8753.199999999997","24","true","45","20706.120000000003","53","true","45","12556.000000000015","32","true","45","0","13","true"
"46","4705.799999999996","42.5","true","46","-12181.639999999992","24","true","46","-2501.2799999999916","53","true","46","-19363.999999999993","32","true","46","0","13","true"
"47","-10142.249999999996","42.5","true","47","26206.000000000007","24","true","47","-16358.46","53","true","47","5500.000000000007","32","true","47","0","13","true"
"48","-16677.000000000004","42.5","true","48","-22143.879999999994","24","true","48","-25243.859999999993","53","true","48","-26916.639999999992","32","true","48","0","13","true"
"49","-15626.999999999996","42.5","true","49","26206.000000000007","24","true","49","-35945.99999999999","53","true","49","22300.000000000007","32","true","49","0","13","true"
"50","-16677.000000000004","42.5","true","50","-24916.319999999992","24","true","50","-37075.259999999995","53","true","50","-30018.959999999992","32","true","50","0","13","true"
"51","-16677.000000000004","42.5","true","51","-29588.319999999992","24","true","51","-37075.259999999995","53","true","51","-26522.959999999992","32","true","51","0","13","true"
"52","-27777","42.5","true","52","-18741.999999999993","24","true","52","-39411.99999999999","53","true","52","-30115.999999999993","32","true","52","0","13","true"
"53","16434","42.5","true","53","-27947.999999999985","24","true","53","-23411.999999999993","53","true","53","2618","32","true","53","0","13","true"
"54","-19413","42.5","true","54","-27680.959999999992","24","true","54","4668.000000000007","53","true","54","472.0000000000073","32","true","54","0","13","true"
"55","-15626.999999999996","42.5","true","55","26710.000000000022","24","true","55","-35945.99999999999","53","true","55","-13699.999999999993","32","true","55","0","13","true"
"56","-16677.000000000004","42.5","true","56","-22532.519999999993","24","true","56","-36549.41999999999","53","true","56","-28525.539999999994","32","true","56","0","13","true"
"57","-16677.000000000004","42.5","true","57","-24996.319999999992","24","true","57","-37075.259999999995","53","true","57","-26522.959999999992","32","true","57","0","13","true"
"58","-16677.000000000004","42.5","true","58","-29588.319999999992","24","true","58","-37075.259999999995","53","true","58","-29790.959999999992","32","true","58","0","13","true"
"59","-16677.000000000004","42.5","true","59","-30340.11999999999","24","true","59","-40511.99999999999","53","true","59","-30980.37999999999","32","true","59","0","13","true"
"60","-15626.999999999996","42.5","true","60","26206.000000000007","24","true","60","-35945.99999999999","53","true","60","5500.000000000007","32","true","60","0","13","true"
"61","-15626.999999999996","42.5","true","61","-2143.9999999999927","24","true","61","-35945.99999999999","53","true","61","-13699.999999999993","32","true","61","0","13","true"
"62","-16677.000000000004","42.5","true","62","-24184.23999999999","24","true","62","-36680.87999999999","53","true","62","-24930.97999999999","32","true","62","0","13","true"
"63","16434","42.5","true","63","12650.000000000007","24","true","63","-23411.999999999993","53","true","63","13518","32","true","63","0","13","true"
"64","-19413","42.5","true","64","-21264.23999999999","24","true","64","4668.000000000007","53","true","64","-9331.999999999993","32","true","64","0","13","true"
"65","-16677.000000000004","42.5","true","65","-26504.03999999999","24","true","65","-37206.71999999999","53","true","65","-29388.399999999994","32","true","65","0","13","true"
"66","59471.999999999985","42.5","true","66","-11693.999999999985","24","true","66","156228","53","true","66","19266.000000000015","32","true","66","0","13","true"
"67","59471.999999999985","42.5","true","67","-10487.999999999985","24","true","67","156228","53","true","67","-49133.99999999998","32","true","67","0","13","true"
"68","2421.000000000029","42.5","true","68","-60472","24","true","68","63024.00000000003","53","true","68","11538.000000000015","32","true","68","0","13","true"
"69","17711.999999999985","42.5","true","69","-14144","24","true","69","108048","53","true","69","-51565.999999999985","32","true","69","0","13","true"
"70","59471.999999999985","42.5","true","70","-50151.999999999985","24","true","70","156228","53","true","70","-58633.999999999985","32","true","70","0","13","true"
"71","20131.499999999985","42.5","true","71","-64312","24","true","71","123208","53","true","71","-29165.999999999985","32","true","71","0","13","true"
"72","-247.4999999999709","42.5","true","72","-32652","24","true","72","52888","53","true","72","-40817.999999999985","32","true","72","0","13","true"
"73","23693.25","42.5","true","73","25576.000000000007","24","true","73","40037.88","53","true","73","5500.000000000007","32","true","73","0","13","true"
"74","33350.09999999999","42.5","true","74","6466.360000000008","24","true","74","40617.6","53","true","74","-11590.879999999997","32","true","74","0","13","true"
"75","33350.09999999999","42.5","true","75","6466.360000000008","24","true","75","40617.6","53","true","75","-11894.879999999997","32","true","75","0","13","true"
"76","17389.65000000001","42.5","true","76","-1513.9999999999927","24","true","76","26366.040000000015","53","true","76","15000.000000000007","32","true","76","0","13","true"
"77","20742.90000000001","42.5","true","77","-3174.719999999994","24","true","77","17480.640000000007","53","true","77","-12578.099999999991","32","true","77","0","13","true"
"78","5981.25","42.5","true","78","-9137.039999999994","24","true","78","5134.160000000011","53","true","78","-14668.659999999993","32","true","78","0","13","true"
"79","5910.899999999994","42.5","true","79","-16600.639999999996","24","true","79","-5524.859999999993","53","true","79","-22938.839999999993","32","true","79","0","13","true"
"80","-809.8499999999985","42.5","true","80","-17741.07999999999","24","true","80","-17356.259999999995","53","true","80","-22089.159999999993","32","true","80","0","13","true"
"81","-16677.000000000004","42.5","true","81","-25990.159999999996","24","true","81","-28924.73999999999","53","true","81","-30753.719999999994","32","true","81","0","13","true"
"82","-27777","42.5","true","82","-28741.999999999993","24","true","82","-39411.99999999999","53","true","82","-31721.999999999993","32","true","82","0","13","true"
"83","-16677.000000000004","42.5","true","83","-38655.95999999999","24","true","83","-40511.99999999999","53","true","83","-34943.99999999999","32","true","83","0","13","true"
"84","-16677.000000000004","42.5","true","84","-37263.95999999999","24","true","84","-40511.99999999999","53","true","84","-33043.99999999999","32","true","84","0","13","true"
"85","-16677.000000000004","42.5","true","85","-37263.95999999999","24","true","85","-40511.99999999999","53","true","85","-33043.99999999999","32","true","85","0","13","true"
"86","-15626.999999999996","42.5","true","86","-1513.9999999999927","24","true","86","-35945.99999999999","53","true","86","-3099.9999999999927","32","true","86","0","13","true"
"87","16434","42.5","true","87","-18725.999999999993","24","true","87","-23411.999999999993","53","true","87","13518","32","true","87","0","13","true"
"88","-16677.000000000004","42.5","true","88","-29951.479999999996","24","true","88","-40511.99999999999","53","true","88","-29015.999999999993","32","true","88","0","13","true"
"89","-15626.999999999996","42.5","true","89","-1513.9999999999927","24","true","89","-35945.99999999999","53","true","89","5500.000000000007","32","true","89","0","13","true"
